127.0.0.1 - - [11/May/2023:09:43:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/May/2023:09:43:09 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [11/May/2023:09:43:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/May/2023:09:47:24 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 5206
0:0:0:0:0:0:0:1 - - [11/May/2023:09:47:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/May/2023:09:48:04 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 5206
0:0:0:0:0:0:0:1 - - [11/May/2023:09:48:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/May/2023:09:48:46 +0530] "GET /z1project/Register.jsp HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [11/May/2023:09:50:26 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [11/May/2023:09:50:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/May/2023:09:51:15 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [11/May/2023:09:51:15 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [11/May/2023:09:51:29 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [11/May/2023:09:51:29 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [11/May/2023:09:51:30 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [11/May/2023:09:52:03 +0530] "GET /z1project/Register.jsp HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [11/May/2023:09:53:33 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [11/May/2023:09:53:34 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [11/May/2023:09:54:39 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [11/May/2023:09:57:26 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [11/May/2023:09:57:27 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1496
