127.0.0.1 - - [07/Jun/2023:18:53:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:53:46 +0530] "GET /z1project/Register.jsp HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:53:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:53:52 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:54:09 +0530] "POST /z1project/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:54:09 +0530] "GET /z1project/welcome.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:54:19 +0530] "POST /z1project/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:54:19 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:55:26 +0530] "POST /z1project/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:55:26 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:55:34 +0530] "GET /z1project/Register.jsp HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:57:29 +0530] "POST /z1project/Register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:57:29 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:57:38 +0530] "POST /z1project/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:57:38 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:57:48 +0530] "POST /z1project/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2023:18:57:48 +0530] "GET /z1project/Login.jsp HTTP/1.1" 200 1499
